objectid,codbarrio,nombre,coddistbar,coddistrit,barrio_unique_id,barrio_name_norm,green_spaces_count,green_area_total_m2,complaints_total,complaints_most_frequent_tema,complaints_most_frequent_tema_count,complaints_by_neighbourhood,noise_mean,noise_max,noise_intersection_area_m2,noise_area_weighted_mean,green_score,low_noise_score,low_complaints_score,urban_quality_index,urban_quality_rank,green_rank,noise_rank,complaints_rank,cluster,cluster_label
60,005,FAVARA,085,8,60,FAVARA,4,21001.314268862137,341,Servicios de limpieza en la vía pública,71,341,3.375,6,248776.2857968929,2.666290634920329,5.567448907962829,52.52384140383395,87.97602256699577,44.37693875443405,31,61,35,19,3,Low-green comfort areas
58,002,SANT ISIDRE,082,8,58,SANT ISIDRE,7,48598.70440796916,601,Servicios de jardinería,123,601,3.5,6,480117.8455199842,3.6967048861797696,12.883517684687067,15.603342364845815,78.80818053596614,33.47686394411841,76,41,86,43,3,Low-green comfort areas
61,002,L'HORT DE SENABRE,092,9,61,L'HORT DE SENABRE,12,25026.216720823904,837,Vía pública reparación de deficiencias,154,837,3.272727272727273,6,358158.1919621755,2.551577152706196,6.634450642899751,56.63410968153802,70.48660084626235,40.78999341550001,49,56,27,57,3,Low-green comfort areas
47,004,CAMI FONDO,124,12,47,CAMI FONDO,5,8839.377927816231,363,Servicios de limpieza en la vía pública,73,363,3.875,6,155303.52330463103,3.200075140888031,2.343319297128807,33.3979507093687,87.2002820874471,37.11679755789626,66,69,75,23,3,Low-green comfort areas
57,005,NA ROVELLA,105,10,57,NA ROVELLA,16,96252.83850820197,532,Servicios prestados en vía pública,89,532,3.272727272727273,6,726091.1298940737,3.3882616227959947,25.516629758516824,26.655090916871373,81.24118476727786,42.575534608651495,43,20,82,36,3,Low-green comfort areas
50,005,PENYA-ROJA,125,12,50,PENYA-ROJA,16,250982.496007936,944,Servicios de limpieza en la vía pública,180,944,3.357142857142857,6,882630.5050534277,3.057427951209933,66.53546561078515,38.50910423135016,66.71368124118476,58.18102188607454,9,5,68,61,1,Green but pressured areas
51,003,LA CREU DEL GRAU,123,12,51,LA CREU DEL GRAU,10,27984.391464580956,2212,Contaminación acústica,786,2212,3.333333333333333,6,415338.20918419154,2.928783703263964,7.4186628372342796,43.11852207165585,22.002820874471084,22.503868018731794,87,53,60,83,2,Low-comfort neighbourhoods
55,007,CIUTAT DE LES ARTS I DE LES CIENCIES,107,10,55,CIUTAT DE LES ARTS I DE LES CIENCIES,21,310945.3651177795,831,Servicios de jardinería,152,831,3.5,6,946601.7034717292,2.983141784751544,82.43162362594751,41.17083210825479,70.69816643159379,66.53334901233357,3,2,65,55,1,Green but pressured areas
619,002,POBLE NOU,172,17,619,POBLE NOU,4,3554.634758979535,54,Servicios de limpieza en la vía pública,11,54,3.363636363636364,6,2177492.302309314,2.0616621729061886,0.9423337584367081,74.18812304925282,98.09590973201692,52.0621433377556,19,78,11,5,0,Quiet low-complaint areas
620,004,LES CASES DE BARCENA,174,17,620,LES CASES DE BARCENA,1,1768.6368480181263,19,Servicios prestados en vía pública,7,19,3.0,5,575877.2901867355,1.52962544216325,0.46886567012050345,93.2513896743912,99.33004231311706,57.96197586430068,10,85,6,3,0,Quiet low-complaint areas
621,005,MAHUELLA-TAULADELLA,175,17,621,MAHUELLA-TAULADELLA,1,315.30908984542816,13,Tramitación administrativa,4,13,2.2,4,63460.90620472226,1.4864448087580349,0.08358844715415968,94.798583467753,99.54160789844852,58.33549278872212,7,87,4,2,0,Quiet low-complaint areas
249,003,PINEDO,193,19,249,PINEDO,11,49876.63657207741,311,Servicios prestados en vía pública,105,311,3.3846153846153846,6,4214462.414453887,2.0969926250488213,13.222297531530462,72.9222070132656,89.03385049365303,53.875736264687774,16,40,12,17,0,Quiet low-complaint areas
633,006,MASSARROJOS,176,17,633,MASSARROJOS,6,30229.568252514626,266,Vía pública reparación de deficiencias,102,266,2.6666666666666665,5,572148.6390044546,1.5954923737944666,8.013859256664942,90.8913291618167,90.62059238363892,57.659120166302664,12,49,8,14,0,Quiet low-complaint areas
233,008,FAITANAR,198,19,233,FAITANAR,2,133086.9838991988,255,Servicios de limpieza en la vía pública,58,255,3.3846153846153846,6,4418439.237931045,3.201660547457385,35.28136257035337,33.341144428158316,91.00846262341327,51.41742714361283,20,10,77,13,3,Low-green comfort areas
250,002,CASTELLAR-L'OLIVERAL,192,19,250,CASTELLAR-L'OLIVERAL,8,6848.730549832417,348,Vía pública reparación de deficiencias,109,348,3.090909090909091,6,2316593.033111404,2.743283914457059,1.8155986302785827,49.76511567806886,87.72919605077574,41.97453297076481,45,73,43,20,3,Low-green comfort areas
251,001,EL FORN D'ALCEDO,191,19,251,EL FORN D'ALCEDO,5,2136.0897828475518,95,Vía pública reparación de deficiencias,18,95,3.4545454545454546,6,1148714.2870668273,3.5375260569152847,0.5662774518096626,21.306836668911828,96.65021156558534,35.61362545107301,71,84,85,9,3,Low-green comfort areas
252,007,LA TORRE,197,19,252,LA TORRE,9,8604.746118386794,354,Servicios de limpieza en la vía pública,73,354,3.2222222222222223,6,405552.1288269724,3.090592949522127,2.281118398915591,37.32077799574465,87.51763046544428,38.363969897922914,62,70,71,22,3,Low-green comfort areas
37,006,SANT FRANCESC,016,1,37,SANT FRANCESC,6,28222.927861289656,1454,Servicios prestados en vía pública,245,1454,3.6,6,384396.6253204072,3.1539189338580083,7.481898841627313,35.05176149004494,48.73060648801128,28.12746993006779,84,52,73,74,2,Low-comfort neighbourhoods
66,004,SANT MARCEL.LI,094,9,66,SANT MARCEL.LI,16,25445.77246640508,802,Vía pública reparación de deficiencias,162,802,3.333333333333333,6,297420.4679049741,3.024562945876134,6.745674880947974,39.686681498318066,71.72073342736249,36.120494430083355,69,55,66,54,3,Low-green comfort areas
201,001,ELS ORRIOLS,151,15,201,ELS ORRIOLS,17,21736.15088824756,907,Servicios prestados en vía pública,163,907,3.2,6,340089.54332708725,2.6226780635753904,5.762254113092028,54.08651185065717,68.01833568406207,38.936355905652576,60,60,33,60,3,Low-green comfort areas
26,001,LA SEU,011,1,26,LA SEU,13,18105.506567570745,739,Servicios de limpieza en la vía pública,123,739,3.0,6,106249.05761456634,2.654585963451565,4.799770218056788,52.94322837483708,73.94217207334273,39.98552822167666,54,64,34,48,3,Low-green comfort areas
