objectid,codbarrio,nombre,coddistbar,coddistrit,barrio_unique_id,barrio_name_norm,green_spaces_count,green_area_total_m2,complaints_total,complaints_most_frequent_tema,complaints_most_frequent_tema_count,complaints_by_neighbourhood,noise_mean,noise_max,noise_intersection_area_m2,noise_area_weighted_mean
47,004,CAMI FONDO,124,12,47,CAMI FONDO,5,8839.377927816231,363,Servicios de limpieza en la vía pública,73,363,3.875,6,155303.52330463103,3.200075140888031
57,005,NA ROVELLA,105,10,57,NA ROVELLA,16,96252.83850820195,532,Servicios prestados en vía pública,89,532,3.272727272727273,6,726091.1298940737,3.3882616227959947
50,005,PENYA-ROJA,125,12,50,PENYA-ROJA,16,250982.49600793602,944,Servicios de limpieza en la vía pública,180,944,3.357142857142857,6,882630.5050534277,3.057427951209933
51,003,LA CREU DEL GRAU,123,12,51,LA CREU DEL GRAU,10,27984.391464580953,2212,Contaminación acústica,786,2212,3.3333333333333335,6,415338.20918419154,2.9287837032639636
55,007,CIUTAT DE LES ARTS I DE LES CIENCIES,107,10,55,CIUTAT DE LES ARTS I DE LES CIENCIES,21,310945.3651177795,831,Servicios de jardinería,152,831,3.5,6,946601.7034717293,2.983141784751544
619,002,POBLE NOU,172,17,619,POBLE NOU,4,3554.634758979535,54,Servicios de limpieza en la vía pública,11,54,3.3636363636363638,6,2177492.302309314,2.0616621729061886
620,004,LES CASES DE BARCENA,174,17,620,LES CASES DE BARCENA,1,1768.6368480181263,19,Servicios prestados en vía pública,7,19,3.0,5,575877.2901867355,1.52962544216325
621,005,MAHUELLA-TAULADELLA,175,17,621,MAHUELLA-TAULADELLA,1,315.30908984542816,13,Tramitación administrativa,4,13,2.2,4,63460.90620472226,1.4864448087580349
249,003,PINEDO,193,19,249,PINEDO,11,49876.63657207741,311,Servicios prestados en vía pública,105,311,3.3846153846153846,6,4214462.414453887,2.0969926250488213
633,006,MASSARROJOS,176,17,633,MASSARROJOS,6,30229.568252514626,266,Vía pública reparación de deficiencias,102,266,2.6666666666666665,5,572148.6390044546,1.5954923737944666
233,008,FAITANAR,198,19,233,FAITANAR,2,133086.9838991988,255,Servicios de limpieza en la vía pública,58,255,3.3846153846153846,6,4418439.237931045,3.201660547457385
250,002,CASTELLAR-L'OLIVERAL,192,19,250,CASTELLAR-L'OLIVERAL,8,6848.730549832417,348,Vía pública reparación de deficiencias,109,348,3.090909090909091,6,2316593.0331114037,2.743283914457059
251,001,EL FORN D'ALCEDO,191,19,251,EL FORN D'ALCEDO,5,2136.0897828475513,95,Vía pública reparación de deficiencias,18,95,3.4545454545454546,6,1148714.2870668273,3.5375260569152847
252,007,LA TORRE,197,19,252,LA TORRE,9,8604.746118386794,354,Servicios de limpieza en la vía pública,73,354,3.2222222222222223,6,405552.1288269724,3.090592949522127
37,006,SANT FRANCESC,016,1,37,SANT FRANCESC,6,28222.927861289656,1454,Servicios prestados en vía pública,245,1454,3.6,6,384396.62532040715,3.1539189338580083
66,004,SANT MARCEL.LI,094,9,66,SANT MARCEL.LI,16,25445.77246640508,802,Vía pública reparación de deficiencias,162,802,3.3333333333333335,6,297420.4679049741,3.024562945876134
201,001,ELS ORRIOLS,151,15,201,ELS ORRIOLS,17,21736.150888247557,907,Servicios prestados en vía pública,163,907,3.2,6,340089.54332708725,2.6226780635753904
26,001,LA SEU,011,1,26,LA SEU,13,18105.506567570745,739,Servicios de limpieza en la vía pública,123,739,3.0,6,106249.05761456634,2.654585963451565
